Date,Date,Rating,Title,Review
2020-03-16,2020-03-16,4.0,"""slow security lines""","  |  Although airport is airy and modern, its plagued with the same issues at all US airports slow security lines and long walks from security to terminals, the biggest problem is from when you drop off your car to the security line is between 15-25 minutes depending on the gate, lots of walking, escalators, tram etc."
2020-03-16,2020-03-16,2.0,"""lose flights due to 2 hr long queues""","  |  Embarrassment of an airport, it is mediocre and disorganized. No separate line for connecting flights and arrivals which makes people lose flights due to 2 hr long queues."
2020-03-18,2020-03-18,1.0,"""will avoid as much as possible""","  | Poor airport and security measures. Was in transit coming from New York going to Bucharest. Of course we had to pass security again, even though it was transit and the same terminal. So anything you might have bought back in New York was good to throw out. Luckily for us it was just some bottles of water. But at security, I had a can of Powder spray for the shoes/feet. The can was clearly Powder, measured in grams and was on an outside net pocket of my backpack. The security staff, instead of just taking care of the can, they got everything out of my backpack, every single individual thing, including cosmetics that were actually in the bag on the tray, and put them directly on the incredibly filthy tray (exactly what I tried to avoid touching with my stuff). This was done at a very slow pace. Also my dad had issues with all his bags, instead of going directly to the problem, the staff touched and got everything out of the bag. Hopefully I never have to use this airport ever again, will avoid as much as possible."
2020-03-18,2020-03-18,10.0,"""received nothing but helpful and cheerful service""", |  Had to return home early due to Coronavirus. The airport was extremely busy. We received nothing but helpful and cheerful service from all staff. Thank you guys for a job more than well done.
2020-03-19,2020-03-19,5.0,"""never look forward to this place"""," |  Concrete monstrosity and mainly a disappointment. Disorderly queues at check-in but fortunately short waiting times for service. Aged TSA infrastructure and again, weak disorderly queues. Really nothing at all interesting in the gate areas and was pleased to join my flight. Baggage came quickly on my return but was pulled over by a clearly bored CBP agent who did a cursory check and sent us on our way - what a waste of time. Can't avoid unfortunately but never look forward to this place."
2020-03-19,2020-03-19,7.0,"""normally quite an easy experience""","  | Use this airport several times a year for visiting family and it's normally quite an easy experience. As I do pre-clearance I arrive as a domestic passenger, and baggage tends to arrive quickly. Good selection of restaurants but can be a little pricey but that's not unusual nowadays. Seems to be improving, and most recently enjoyed a nice musical performance in Terminal A. Impressed."
2020-03-19,2020-03-19,5.0,"""a very grubby space""","  | Meet and greet parking location is nice and convenient but horrendous queues to drop off car keys in the terminal. Drab airport interior and this theme is continued around security processing with low ceilings and generally cramped queuing areas. Paid for fast track so skipped most of the lines, but a very grubby space. Gate areas are slightly better for space and light, but terrible seating choices and average washroom cleanliness. Not an airport to hang around in. On arrival, immigration kiosk queues were modest and baggage was quick. Baggage area toilets similarly weak appearance. Rather confusing system of automatic retrieval for car keys at meet and greet area but staff there to assist."
2020-03-21,2020-03-21,1.0,"""Why isnt this conveyed to people before""","  | At the security desk when checking my bags, they stopped me for my duty free bag which I bought from Mexico, they took a look at it and took out a bottle that I bought that was freshly bought from the duty free store, the lady took my bottle and said I cant test the bottle its not transparent! Firstly, where is this message told to the passengers before buying or carrying, secondly, why is there no alternate method to test something that is not transparent? Instead they gave me two options, either leave my bottle which cost over $120 or pay extra $30 and go through security again (my flight was about to leave). Why isnt this conveyed to people before!? Why do I have to lose the money I paid for something they cant convey prior to me buying? Im really frustrated by this."
2020-03-21,2020-03-21,1.0,"""6ft distance is not honored""","  |  Most personnel has no mask nor gloves and comes really close, not honoring 6ft distance. I m wearing mask and gloves and counter and security is harassing me, i had to go thru security line then back to counter then security line and they openly harassed me, making me wait, not helping, making it difficult, going tru all my stuff and patting me down it took an hour total and i lost my flight. Security is worst because it is without masks and come close to you to pat you down.  I asked they do talking at 6ft distance and then come to pat me and they had no clue what i was talking about. They want to pretend corona doesnt exist. Airport is quite empty but practically nobody wears a mask or gloves and 6ft distance is not honored."
2020-03-22,2020-03-22,6.0,"""overall rating is bad""", | I rode with Spirit and the employee's and customer support was terrible. They had us go through so much more than what we have ever done at security and they had a rude tone. It took them way too long to give us our boarding pass and went through unnecessary precautions at security that we have never done before. This made my morning horrible and my overall rating is bad.
2020-03-23,2020-03-23,2.0,"""This is awful and disrespectful""","  | We are under a pandemic and I am wearing a mask and gloves, respecting 6 ft distance. Workers at security didn't want us to maintain 6 feet and told me they didn't care if we all got sick. one guy called me sick girl and said you decided to fly, you should have stayed home. This is awful and disrespectful. Security needs to be more aware of the part they play in helping keep people safe. Otherwise, they can stay home."
2020-03-24,2020-03-24,1.0,"""Shame on airport management""",  | We arrived at MCO (Orlando Airport) on Mar 18 at 11.00 pm. Airport was fairly empty as expected except apparently a couple of other planes arrived around the same time. Airport security or TSA whomever controls the trams from the gates to the terminal shut down all but 2 tram cars just as 200-250 people were trying to go from gates to the terminal. With all the concern over Covid19 why in the heck would the airport jam all those people into 2 trams. It probably took 2-3 trips back to the terminal to move all the people. We happened to be on the front end of that crowd and once in the tram had no chance to socially distance ourselves from anyone. It was like stuffing sardines into a can. There were 4-6 airport personnel controlling the situation and they all were obvious to any social distancing requirement being imposed for health purposes. It was 11.00 pm which must have been quitting time and they just did what they did every other night when 11.00 pm arrived. Please allow them to understand what is going on in the world today and try to assist in stopping this current virus. If you cannot allow the employees to make better decisions on their own then airport management needs to be in field understanding what is happening in your airport. Shame on airport management.
2020-04-05,2020-04-05,7.0,"""An amazing experience"""," | An amazing experience through Manchester, except security. Staff at security were shouting 'All liquids in bags' (super loud). Check-in and boarding was all good. Food was good too"
