Date,Date,Rating,Title,Review
2017-06-02,2017-06-02,3.0,"""force people to take the bus""","Seems the Fort Lauderdale airport officials want to force people to take the bus when moving among the different terminals since there are very few signs directing those who wish to walk. To encourage walking it would be helpful to have signs indicating the path and the approximate walking time. Example, 'This way to Terminal 1', 'Walking time 14 minutes'. Or you may choose to take the bus."
2017-06-11,2017-06-11,8.0,"""TSA agents surprisingly friendly""","TSA agents at Fort Myers Airport were surprisingly friendly. I was on a red-eye flight home to Chicago, and was feeling restless. They were very understanding, and I am still to this day shocked given my experience with the TSA at O'Hare. WiFi was ok. The decor was quite tasteful."
2017-06-11,2017-06-11,1.0,"""utter chaos inside"""," Verified Review | Arrived at Vancouver after a good flight from UK to be informed that all transit passengers would have to collect thier own luggage and check in again for their onward journey. I had 2 hours and 35 minutes before my next flight to Calgary, plenty of time, I thought. After disemabarking from my flight we were faced with total and utter chaos inside the airport, in fact it was more akin to a cattle market. In my 40 years of world travel and visiting both large and small airports, this was my worst experience at any time, anywhere. All the ""assistants"" were young girls who were far to busy on their intercom phones to talk with anyone, they just pointed where we all had to go. It was some 1 hour and 45 minutes later that I managed to get into the main hall (downstairs) to retrieve my luggage. I was then informed that I had to go through security before I could check in for my onward journey to Calgary. This I have never ever known before and there was now only 50 minutes before my next flight. Of course there was yet another long queue for the security. Many travellers (some quite older people) were trying to ask the young staff if they would miss there onward flight, their reply was always the same ""there is nothing we can do, just keep in the queue"". There was nowhere for these older people to sit and rest and most were just being pushed along, this was not a nice thing to see. Eventually, near the end of the queue I could see that the Immigration officers were sitting and there was not a single person in the queue? I just could not see why we were queuing at all until, I saw some machines. These machines were now quiet obviously the issue that was causing all the chaos. Thousands of people and only a few machines to service all passengers, and of course it was very plain to see that most passengers were having issues in working these machines and there was not one member of airport staff to assist anywhere to be seen. I finally reached the machines, in fact they are now the declaration machines. I am very competent with computers and I could see why people were now having issues. There was one question at a time on the screen and right at the very bottom it says continue, most did not see this were just looking around the screen and looking for some help. Alas, there was no forthcoming save from the odd passenger, myself included who showed them how these machines operated. There were no clear instructions anywhere. Disguting design in my opinion. Eventully I filled in the declaration and form the machine I recieved a ticket. I then rushed to the nearest Immigration officer as I had 10 minutes left to check in and get to the boarding gate. The officer just looked at my passport and said have a good holiday and let me through very quickly. I then look at three different boards for my Flight number and boarding gate. It is only now that I am beggining to feel totally frustrated at the lack of staff around to assist. I went from one end of the check in right down to the other end and there was no check in for Air Transat to be found. Now with only 5 minutes left before my flight it was due to another passenger who waved at me and showed me where the check in was. It was tucked away right at the very end hidden around a corner. I just made my flight, others unfortunately did not. I shall never fly to this airport again.The whole experience and the way passengers were treated was utterly disguting."
2017-06-12,2017-06-12,1.0,"""most unorganized airport"""," Verified Review | Honolulu has been one of the worst airport experiences of my life. I flew in on an international flight and was told I had to get my bag, recheck it, and then go through security again. There were signs to mainland USA, but when I got to the sign where it said to take the elevator, there was no floor number to go to. So I just had to pick a floor. When I finally found Hawaiian check-in there was just one huge queue. No one knew what they were doing, half of the check in computers were not working, and then I couldn't even get a seat number when I dropped my bag off. Then security took 45 minutes, and the line was not that long. Finally got through security and had to walk a mile to find my gate. These sound like little things, but this was the most unorganized airport I've ever been to. I will try at all costs to never fly through here or use Hawaiian Airlines again."
2017-06-13,2017-06-13,1.0,"""airport doesn't have the capacity""", Verified Review | Vancouver airport is a failure! The staff have no clue how to handle the crowds. Lines are very long and the airport doesn't have the capacity to service this number of flights. It seems for the managers increasing the number of flights is more important than the quality of the service. The picture is the passport check at the arrivals.
2017-06-14,2017-06-14,10.0,"""improved markedly"""," Verified Review | We flew from Terminal 3, the base for United's domestic operations. Things have improved markedly at San Francisco over the past couple of years. Terminal 3 has been thoroughly modernized and has many state-of-the-art features. United's clubs, at gate 69 and in the satellite concourse, are both among their better clubs. Check-in is well-spaced and efficient. Security, long a problem for Terminal 3, seems to have been configured to move quickly. We were flying at midday and experienced no wait at TSA Pre-check. As an aside, I'm also familiar with SFO's international concourses. They are among the best in the US, with lots of facilities and efficient boarding areas."
2017-06-14,2017-06-14,1.0,"""avoiding this airport indefinitely"""," Verified Review | Fort Lauderdale airport is by far the worst I have ever been in. Baggage claim area is a joke. There were about 500 people in a cramped area with 2 area to get your luggage. Asking for assistance by their employees was a joke. They were extremely rude and discourteous. 2 hours to get through customs. Customs agents were rude. Everyone seems unhappy to work there. We arrived 20 mins early at 4:20 and was not finished through customs until a little after 6pm and our next flight begins boarding at 6:30. I will be willing to pay more money for better service and treatment. Therefore, I will be avoiding this airport indefinitely."
2017-06-16,2017-06-16,9.0,"""great amenities, extremely logical""","Best airport in the USA. Efficient ground ops and control, great amenities, extremely logical and convenient layout, tall ceilings and huge windows. I fly several times per month and Dallas Fort-Worth is my preferred airport hands down. It's easy to park here too which is a feat for such a large airport. Minus one until they finish remodeling the last one or two terminals."
2017-06-18,2017-06-18,1.0,"""Horrendous place to be stuck"""," Unverified |  Changing airport code from ""PHL"" to ""FPA"" for Filthy Philadelphia Airport. In addition to almost all areas being nasty, 80% of oulets for traveler convenience do not work. Door security alarms go off so often that no one cares or pays attention. Seven times so far in the span of 2 hours. Horrendous place to be stuck for more than 30 minutes. American airline employee apathy ca be cut with a knife it's so thick. From gate agents all the way up to the Admiral club counter. Welcome to FPA."
2017-06-19,2017-06-19,2.0,"""horrible, inexcusable delays"""," Unverified |  I have never found Logan Airport to be efficient or well-run. It's runway renovations are causing horrible, inexcusable delays. I am sitting on a Dallas runway waiting to take off to Boston on a Sunday morning and we have already been delayed twice. Three weeks ago, I experienced a six hour delay due to this same thing. I am going to start driving to RI or other airports rather than waste time trying to use Logan. Colleagues of mine in Boston are also doing the same."
