compound,Date,Date.1,Rating,Title,Review,scores,compound
-0.9986,2020-02-01,2020-02-01,10.0,Abandoned by American Airlines,"Earlier this month my family and I were traveling from Hong Kong to Denver, and I decided to give Premium Economy in American Airlines a try.  I did not expect it to be as good as Cathay's offering, but for a lower price and the extra space of premium I thought it should be manageable, particularly as I am a Oneworld Emerald Member (Diamond on Cathay) and hence I would have some perks such as lounge access.The result was a complete mess of cancellations and delays, and being routed through London to get from HK to Denver (the wrong way around the planet.)  Most importantly, throughout the customer service from AA has been appalling.  I just tried to ring through to speak to someone again and it appears that no one at AA actually speaks to clients with complaints - they will only communicate by e-mail.A quick rundown of what went wrong on this trip:*  AA cancelled its flight at the last moment due to virus concerns.  Despite the announcement in the online press that mainland flights were cancelled but HK flights were still operating, they cancelled the flight late Saturday and did not try to call or e-mail any of their clients.  Our travel agent had been on the phone with them the afternoon before and they had said all was okay.*  Why did they cancel the flight?  Their pilots all called in sick and effectively refused to fly to HK, even though we are more than 1,000km from Wuhan and have fewer cases of the virus than Japan, Singapore, and other destinations AA continued to fly too.*  With the pilots having ducked their responsibilities at the last moment, did AA work to find other flights for their passengers?  No.  Instead, as near as I can tell, they quickly found seats for their pilots and flight crew already in HK to deadhead out, taking up almost all the spare flight capacity.  While the AA pilots were unwilling to fly themselves, pilots from Cathay, BA, and other airlines continued to due their duty and serve their passengers, and the AA team put their staff at the front of this queue.*  So with this situation and our need to get to the US to visit a sick relative, the only solution was for us to go to the US through London, adding extensive flight time and a long layover in London.*  Their first attempt to do this saw them downgrading us to regular economy.  It was not until we pushed that they got us our premium economy seats.*  At this time I asked, for the first of many times, to speak with the HK country head for AA.  I have never been able to speak to a senior manager at AA throughout this mess despite numerous requests, and the ground staff simply say that they can't do anything.*  When returning from the US we were rerouted onto Cathay, but had to do an AA flight from Denver to LA.  However there was a short weather hold and so the flight was delayed and we would miss our connection.  Trying to change this flight took some two hours, again led to them trying to downgrade us, and saw most of the flight miserable and confused.  AA staff were not communicating amongst themselves and they were ridiculously understaffed.  *  We eventually had to take a United Airlines flight from Denver to LA, so of the four sectors we were supposed to take with AA, we had zero flight time with the airline.  *  Now I am back and I have not been credited with any of my points or miles from the flights.  In trying to get this sorted I find that, and I should not be surprised by now, there is no one I can speak to about the problem.I understand the problems happen.  However, in this case the problem is entirely of AA's own making.  Further, having made a series of decisions they need to support their customers.  Instead they abandoned them.  This was our big adventure to see if AA could hold up as an airline choice for us.  They have failed so badly that not only will I actively avoid AA in future, I am going to spread the word of their ridiculously poor customer service.  If they are going to abuse and abandon their customers in this way they should simply close up.  Avoid AA.  American Airline's management should be embarrassed, and their pilots should be ashamed.","{'neg': 0.155, 'neu': 0.818, 'pos': 0.027, 'compound': -0.9986}",-0.9986
-0.9986,2019-06-10,2019-06-10,1.0,"""awful, awful place""","Baltimore is a beautiful, modern airport but is poorly designed, like a maze, and passenger/user unfriendly in the extreme. Sadly, the airport employees/TSA are shockingly rude and even hostile to varying degrees. This, I find is a mirror-reflection of the Baltimore area in general. Never have I encountered such rude, arrogant, unpleasant people in my life. What is it about Baltimore that just can't help but bring out the worst in people? As I said, the place is as confusing as a maze, so be prepared to spend an hour looking for your car, as the A,B,C,D,E,F,G, etc. parking lot designations don't follow any logical sequence and abruptly end and confuse the heck out of people! I spent almost an hour trying to find my car! When I asked a passing TSA employee for directions, I was given the rudest ""I have no idea""! rebuff I have ever experienced at any airport! To add insult to injury, I became so agitated that I started to experience rising blood pressure and dangerous light-headedness/angina. In all the unpleasantness of this BWI place, I inadvertently dropped my ticket somewhere searching in vain for my car. I then spent another 30 minutes looking for my parking ticket, in vain as well. I only found my car by pure luck, even though I had written down its precise location in the parking lot. It cost me $22 to get out of that BWI hellhole. (I am thinking of another word, not appropriate to use). I got the feeling that if, I had in fact, suddenly collapsed from a heart attack, absolutely no one working there would have done a thing! I am really disgusted by that place! If I could give ZERO stars to BWI airport I would. Sadly, the airport management couldn't care less and the (government) employees are absolutely unaccountable to the public. Awful, awful, awful place! Try to avoid it if you can.","{'neg': 0.293, 'neu': 0.664, 'pos': 0.043, 'compound': -0.9986}",-0.9986
-0.9962,2019-08-01,2019-08-01,10.0,"Ranks amongst the Worst International Flights...Atlanta GA to Lagos, Nigeria is very ""Condescending""","Caveat: This review pertains only to this particular flight/route on Delta from USA to and from Nigeria. I have had fairly decent experience on Delta Airlines (same seat classification/category) from Beijing to Toronto earlier in the same year:This flight ranks amongst one of the worst International Flights in over fifty years of travelling around the globe. One cannot help but notice how the ""check-in"" counter staff members were so condescending, insolent and arrogant in their attitudes toward paying Customers. Is it simply because this is a flight to Nigeria (Africa)? I wonder!I have never experienced  Airlines employees ""begging"" for money from passengers seating and waiting in the lounge to board a plane onward to Africa! When asked, certain priggish and pompous Delta Airline flight -attendants rudely retorted stating that asking for donations to help ""poor and helpless"" Americans is the norm in USA... Wrong!It is Pitiful to witness how low America has sunk!To worsen the situation, the In-flight service was so disgusting words alone simply cannot do justice. We started off by boarding and ""Old"" dilapidated aircraft with a past-due date, ready to be recycled in the junkyard! The poor quality of food and drinks served on board, defective entertainment units in more than three (3) seat rows within my vicinity (my seat included), dirty washrooms...Just Appalling! Delta Airlines is not treating Nigerians (Africans) Right, and this attitude is Wrong especially at such and altitude!I refuse to ever fly Delta Airlines to Africa, never again...NEVER!!!The catch is in the ""direct flight""...but do not be deceived. You will be ""uncomfortable"" for almost 12 hours while feeling directly in hell up above.PS: I wrote to Delta and only for them to insult my intelligence with 5,000 bonus points as a ""pacifier""...Jokers!","{'neg': 0.228, 'neu': 0.707, 'pos': 0.065, 'compound': -0.9962}",-0.9962
-0.9961,2020-03-01,2020-03-01,30.0,Bathrooms on a plane,"Normally, I love Delta Airlines.... but the three star review is a protest for their use of the Airbus design with the lavatory in the center of the plane.  I understand the inclination... conventional wisdom would dictate that a lavatory in the center the plane would be more convenient for everyone on the flight.  However, that conventional wisdom would ignore the fact that the world is full of jerks.  It would ignore the fact, that there are some people who would go to that convenient lavatory and drop the mother of all duces in the first half hour of a 4 hour flight.Some people hate their fellow man. Some people just want to watch the world burn.  Delta's use of this particular Airbus design allows the worst among us to completely ruin the flight experience of 30 of their fellow passengers with nothing but the stink of their bowels.  You may think I'm overreacting... but I tell you... I literally just experienced the nightmare you are already envisioning. Not 30 minutes into the flight, some traveling fiend with a belly full of what could only be hell itself, absolutely destroyed that humble lavatory...  as the door swung open onto the sealed, pressurized cabin of travelers trapped at standard cruising altitude, the stench could only be described as terror inducing... it literally roused me from an early flight slumber and dragged me into the hell which would be my companion for the rest of the flight...  It would not matter if my tray table was up, or If my seat was in the upright position... I was doomed.  The smell Harassed at least five rows of passengers... While the closest unfortunate bystander had watering eyes and had to fight the urge to use the conveniently located vomit bags in the seat back in front of them.  In short, it was a a single serving package of punishment for those who failed to pay for preferred seating.I write this review having survived the experience.... sitting far enough away from the splash zone of this exhibition of nature and technology run amok, to implore Delta airlines to think about the safety and serenity of their passengers when choosing a design for an airplane.  There are monsters among us who care nothing for their fellow passengers... and one can only hope that the company upon which we place so much collective trust would protect us from those who would seek to harm us.","{'neg': 0.195, 'neu': 0.721, 'pos': 0.084, 'compound': -0.9961}",-0.9961
-0.9958,2018-12-11,2018-12-11,2.0,"""Rude, aggressive, apathetic staff"""," |  Its been several visits to OHare. Rude, aggressive, apathetic staff and TSA agents. People who are clearly irritated working with the public and want you to know. From the TSA ID reader at security checkpoint 7 near American Airlines in Terminal 3 who wants you to extend your left arm to place your phone on the reader but not move your body at all, and when you accidentally do, becomes angry and tells you how unhappy he is b/c people dont listen, or the other agent who doesnt explain how to place your bag on the roller but is very disappointed in your actions by yelling, Do not push! I get it. You hate me, you hate people, and you hate your job. I have traveled back with students from abroad to be greeted with angry agents who separated my students from me, sending them to separate security checkpoints, and rushed us so fast through lines my kids kept screwing up. TSA didnt care. Kids were crying and the anxiety spiked. They still did not care. If you want to feel worse about your existence, go to OHare. They will let you know through their tones, angry looks, and aggressive actions. Something needs to change.","{'neg': 0.268, 'neu': 0.68, 'pos': 0.052, 'compound': -0.9958}",-0.9958
-0.9951,2019-11-02,2019-11-02,1.0,"""Terrible, shameful treatment"""," | Visited Las Vegas for the first time recently. Our trip was wonderful, but our experience traveling through this airport ruined it. From the Fox Rental Car shuttle the bad treatment started, and it just got worse. Nearly every 'service' person we dealt with, from the American Airlines check-in, to the shop assistants, TSA, Burger King lady, and nearly every AA representative we were forced to deal with was breathtakingly rude, and sometimes downright bullying. And my husband and I are very polite and patient people. We spent the night in the freezing airport due to AA incompetence and got nothing but hostility from nearly everyone we (politely) approached for help or information. When we were finally put on a plane with the help of one American Airlines employee, I witnessed at least four other passengers being treated terribly for no reason. It's like they are trained to abuse their clients. The icing on the cake was the 2 AA cabin crew members getting into a very loud fight in the back of the plane. The tension on the plane was palpable. I've never experienced this in my life, and suddenly the news reports about passengers flipping out on planes seemed understandable. I'm not surprised, if it happens on American Airlines, and guess what? It would be totally the fault of those employees. Terrible, shameful treatment of their clients. I will never fly AA again, and will never pass through McCarron airport again. Beware!","{'neg': 0.226, 'neu': 0.719, 'pos': 0.055, 'compound': -0.9951}",-0.9951
-0.9943,2020-01-01,2020-01-01,20.0,Chaos at the Amer Airline passenger gate,"Ice storm so bad in Kansas City that all flights were grounded. My comment is about the total chaos at the American Airlines passenger gate.  At about 7:30am, we boarded the plane, but then were told we had to get off the plane. We waited in the passenger area for the American Airlines staff to tell us what was happening. About 9:30, the women at the passenger gate told us to retrieve our luggage from baggage claim because the flight was cancelled. While I stayed with our carry-on luggage and called American Airlines to reschedule our flight from Kansas City to Dallas Ft. Worth to book the plane to Maui on the next day, my husband went to baggage claim.  The AA representative on the toll-free number said that our flight was NOT cancelled, just delayed. I told her that the women at the gate told us to get our luggage, no flight today. She put me on Hold. My husband returned about 25 minutes later and said that the baggage claim attendants said that no luggage was coming off of our flight; that we should return to the gate and wait for the flight. We returned to the passenger gate for flight 1261 to Dallas and the women told us that no 1261 was leaving that day. I was still talking to the  AA representative on the toll-free number. I asked her if she would tell the women at the gate that no luggage was coming off the plane. But by that time, other passengers returned to tell her she was mistaken. It took another hour before we were told we would be able to depart Kansas City that day. Now I know it was a terrible ice storm. No one is at fault for the delay in flight or the cancelling of flights, but the chaos at the passenger gate was ridiculous. Those women didn't have a clue what was happening. They told the passengers to leave. I know that many did leave out of frustration and not knowing the true circumstances of that flight. The woman on the toll-free number stuck with me. At one time she put me on hold which lasted about 20 minutes, but she returned to assure me that my flight would get out of Kansas City. She helped me get on the plane to Maui for the following day.  American Airlines has fallen greatly in my regard. In the future, I will shop around for a more customer centered airline.","{'neg': 0.14, 'neu': 0.834, 'pos': 0.026, 'compound': -0.9943}",-0.9943
-0.9942,2020-01-01,2020-01-01,10.0,"Terrible service, flight delayed by 6 hours because no backup pilot crew available","Our flight was initially scheduled to be pushed from the gate at 8:12am and arrival at St. Thomas 13:10 local time. Everything was on schedule and around 8:05 doors were closed.First delay happened however right at that moment passenger at 22C decided that he want to leave the plane, doors were re-opened and passenger was let go off the flight, this added probably 10 minutes and I’m not sure if Delta protocol allows this in a first place.We remained at the gate for a while and without any information, finally about 15-20 minutes later pilot informed us that plane will be de-iced and it should be done at the de-icing station. It was a line and another 25 minutes went by. All of a sudden announcement came asking for a doctor. There were at least two on board and they were rushed to the back seats to check on someone and came back telling on the way that ‘everything is ok’. Meanwhile plane was parked on the taxyway with no announcement of what is going on from the crew and everyone on board was getting more and more worried about when we will depart. Another 20 or so minutes later captain told us that we are going back to the gate to disembark two more passengers. Gate was busy and we had to wait again, finally doors were opened and two passengers were escorted off the plane.Waiting again, I’ve received message from Delta that our flight is delayed by another hour and only after that pilot announced that we need more fuel and it will result in another delay. Refueling took another half hour and once it was completed pilot told that now their time is up - pilots crew allowed to work for 9 hours straight and flying to St. Thomas and back would take more.More sitting on the plane waiting for what will happen. One version that was announced - and confirmed by looking at the flight plan on flightaware.com - is that we will fly to Atlanta, pick another crew and then to St. Thomas. Delta app was offering change to the next day flight. After another hour or so wait, pilots left the plane and some time later we were told to leave plane as well, take our belongings and go back to the gate “because plane may need some service”, but no announcement were made about Delta plan on handling the situation. Few Delta managers were discussing situation with each other next to the gate but did not share anything with us. Finally announcement was made to get back to the gate around 1pm, we were let back on the plane and were sitting again, flight attendant told us that new crew still not arrived. It took another 50 minutes to get new pilots onboard and finally we were flying back. No extra food was offered on board after almost six hours delay, it was no real apology from Delta and we were not offered any compensation. Also during the flight condition on the plane deteriorate, all coach class lavatories ran out of water in the toilets and were dirty and to add to all this at the landing plane touched down so hard that some of the luggage compartments doors opened.. this was scary.This chain of delays and absence of clear communication from Delta along with confusing changing plans resulted in inconvenience for everyone on board - see attached hand-written note with names, email addresses and seat numbers from many of the fellow passengers, this letter will be CCd to their emails. On the personal side, our family of 5 missed a day at the island that is expensive on it’s own, were unable to pick up our rental car as our flight landed at Some questions to Delta: - How you can schedule a single pilot crew for the flight to the remote island with no extra backup crew - when total flight time according FlightAware is almost 8 hours, this only allows one hour for the delays and JFK is notoriously known for the ground delays?- Why it was no crew available on call at the major hub? -Why Delta was not keeping up with updating passengers with contingency plan?- Why refuel was needed in a first place, it was no extra fueling at St. Thomas, this mean DL465 takes enough fuel at JFK for the round trip flight to save on the fuel cost at STT?  that basically Delta decided to put full plane of the passengers into the inconvenience instead of paying a bit extra for the fuel at STT. Without refueling crew would still have time to complete  our flight.- Why once we were forced back at the terminal, it was no announcement via SMS or email about Delta plans and also about availability of the food, etc? We found that it was some food distributed at the time we were re-boarding.- Why Delta did not truly apologized for the 6 hours arrival delay and why no compensation was offered to the passengers?","{'neg': 0.081, 'neu': 0.904, 'pos': 0.015, 'compound': -0.9942}",-0.9942
-0.994,2020-01-01,2020-01-01,10.0,Worst airport experience ever !!!!!!!,I had the absolute worst experience ever with South West airlines- Houston. I waited at baggage claim for over 30 minutes for my bag which never came while over the speaker the announcer called for the owner of a crown royal bag. As you may know Crown Royal is a liquor that comes in a purple and gold bag but this couldn’t be my bag even though it was purple and gold it clearly said Betsy Johnson all over it. I guess that was a funny joke for the employees to yell on the loud speaker that owner of a crown royal bag needed to come to the service desk. After realizing my bag was not coming I was directed to a room in the back where I inquired about the location of the bag. The airport staff then said oh you’re the owner of the Crown Royal bag and began to giggle. They informed that my bag fell and was ran over and some of my stuff have been destroyed with not even the smallest hint of remorse. My bag was literally destroyed to the point all the clothes and shoes In it were ripped to shreds/ destroyed. When I became angry the south west employee Danny asked me “ what are you so mad about it’s not like we are not going to cut you a check”. I explained to the worker that I am in a city I have never been to with absolutely nothing to wear and all my belongings destroyed. The employee began to tell me how southwest is a million dollar company & they have no problem cutting a check as if this was suppose to make me feel better. The employee then told me it happens all the time due to southwest handling so much luggage on a daily basis and they just cut a check. The employees asked me to go through my bag and damages and asked me to price the cost of each item. The south west employee sat on the computer googled my items one by one while making comments like “ woah you really paid $200 for that ?” and arguing with me over the amount I paid for each item saying things like “ well they have it for cheaper at this store”. The worker also went as far to turn to his employee and say “I don’t even argue with these people” After the employee calculated what he felt I deserved for my belongings he wrote a check for $620 and told me I should just go to the mall & buy new items. The employee told me I can go to chase bank and cash the check the same day which was a lie. I went to chase bank and they told me they could not cash check because south west had to verify it and no one answered the phone. I was not able to cash check until I returned home from my vacation. The customer was absolutely terrible and this was a major I’m convenience and embarrassing experience. I do not recommend Southwest Airlines to any one.,"{'neg': 0.131, 'neu': 0.824, 'pos': 0.045, 'compound': -0.994}",-0.994
-0.9931,2018-07-21,2018-07-21,2.0,"""hot, humid and smelly inside""","  | It was the worst airport experience Ive ever had! I arrived in the terminal where there were no family restrooms and when I asked about it I was sent to the nursing room instead. The nursing room is another bad story! It was next to the restroom and didnt have any ventilation. It was hot, humid and smelly inside. After couple of minutes with my baby I felt sick and we left. In the therminal we find a family restroom but with other name. It was All genders restroom guess what? They all were busy because everyone wants to go and check the restroom so we have to wait and wait. One of the doors in all genders restroom was broken. It let you in but you cant go out. I pushed an emergency button but they didnt care and I was rescued when other mom with a baby pushed the button from outside. The people on the checking point were rude! I had to wait a long time for my stroller because they placed it on the side and forget to check it, finally when it was cleared, they told me go back to the scanners and pick it up but in that time my baby was so tired and frustrated so he laid down on the floor (very dirty by the way) and cried so I couldnt move anywhere and I begged them to bring the stroller to me and they just stayed there. Finally one of the passengers brought the stroller to us. I changed 5 different planes in two different countries that day and LA airport was the worst!","{'neg': 0.168, 'neu': 0.814, 'pos': 0.018, 'compound': -0.9931}",-0.9931
