compound,Date,Date.1,Rating,Title,Review,scores,compound
0.7106,2021-08-01,2021-08-01,10.0,Absolute worst flight experience by far,"They overbook their flights, ask people to accept giftcards for a later flight as well as asking for people to check more bags since they didnt have enough space. Maybe dont sell me the tickets that you dont have the space for????? Anyway, i decided to help them out and checked 2 of my bags that would have been carry-ons(free of charge). 180 people boarding takes time. 5 planes on the tarmac takes time. 180 people deplaning takes time. I dont work for the airlines, but dont they know their own schedules??? As we were landing, a flight attendant called out connecting flights to inform the passengers of their ""time crunch"". The first 3 or 4 connecting cities left in less that 10 minutes. The door wasnt even open yet. Another 5 down the list i finally hear mine called out along with the gate ""you have 27 minutes"". 10 minutes later we finally were able to step off of the plane. Boarding ends 15min before departure...Regardless, we sprinted through 2 terminals to arrive, covered in sweat, at the gate we were given(was not on departure screen for some reason...?) Just to find out the attendant gave us the wrong gate, and our plane had already left.(explains the screen) our bags were on that plane. I went to customer service, who was not at all thrilled to help me. They told me to call the 24/7 service number. Like arent they there to help me in person???? The soonest flight they could put me on was 6 hours later. I went over to southwest to ask for seat but with delta refusing any non-voucher reimbursement, i was stuck with the 11 pm departure as opposed to my original 530pm arrival time. With nothing but the clothes on my back. Every customer service member i spoke to gave me another number to call, and the last one had me on hold for over an hour, luckily i had the time. Overall just absolutely terrible time management, employess working the gate have zero sense of urgency, but the attendants and pilots seemed genuinely apologetic about the situation even though it was out of their control. I would rather drive cross country in a Neon than fly with them again.","{'neg': 0.046, 'neu': 0.885, 'pos': 0.069, 'compound': 0.7106}",0.7106
0.7121,2021-12-01,2021-12-01,10.0,Worst airline experience in history,I CANNOT BELIEVE HOW HORRIBLE AND INEFFICIENT THIS AIRLINE WAS. Arrived at the airport 2 hours before flight and spent that entire time waiting at their ticketing counter so that we missed both of our flights. Shocked they have survived as a business and hope they do not continue to. Choosing to fly with them was the biggest mistake I’ve made in years. All the airport workers literally laughed when we said we were flying American and knew we were screwed. This line turns a corner twice. Wish there was a zero star option.,"{'neg': 0.098, 'neu': 0.757, 'pos': 0.145, 'compound': 0.7121}",0.7121
0.7132,2021-10-01,2021-10-01,10.0,DO NOT fly Delta - Complete Ripoff,"We booked first-class tickets on our flight with Delta.  They canceled the flight and put us in economy on another flight and would not refund the difference.  They said it was booked through Expedia so we should call them.  Expedia rightly pointed out that Delta canceled the flight and was obligated to give us our money back or provide us with first class seats.  Neither happened and we flew economy after paying for first class.  I contacted them afterwards and they basically don't care.Ironically we finally made it on first class on our return flight and it was extremely underwhelming.  The seats are small and old and were very dirty (amazing during the times of covid).  At best it felt like flying premium economy.  Don't ever fly first class on Delta since it's not worth the money.  For that matter, just pick another airline.  Anyone who cares so little about their customers doesn't deserve to stay in business.","{'neg': 0.029, 'neu': 0.906, 'pos': 0.065, 'compound': 0.7132}",0.7132
0.714,2020-09-01,2020-09-01,40.0,Pretty full flight,Pretty full flight. Lots of middle seats full on this flight. Such a different feel from the flight I was on yesterday. Snacks served twice but the same snacks. It would be better to offer something different the second time on a four hour plus flight.,"{'neg': 0.0, 'neu': 0.873, 'pos': 0.127, 'compound': 0.714}",0.714
0.7146,2021-04-01,2021-04-01,20.0,Lack of service,"Flew 04/12/21 and in business class and amazed at the complete lack of service during a 3 hour flight leaving at 1300. We received 1 drink, no snacks and nothing else. Not sure what the crew were up to but they certainly had no duties looking after the passengers. For all that extra money I would have appreciated at least a pack of peanuts.","{'neg': 0.088, 'neu': 0.753, 'pos': 0.159, 'compound': 0.7146}",0.7146
0.7156,2020-09-01,2020-09-01,50.0,Clean and Safe During COVID,"I cannot say enough positive things about Delta’s service during COVID. I was anxious to fly home to my asthmatic, diabetic mother during COVID and heard Delta was the best so I booked my ticket with them. I was beyond impressed. The minute you walked on the plane you could tell it was clean, refreshed, and sanitized. They boarded only ten people at a time, sat people in every other row, and ensured no one reserved the seat next to you to maintain distance. Everyone, including flight attendants and passengers, wore masks the whole time, they handed out snacks in pre-packaged baggies, and had sanitizing wipes available on the plane. I am no longer hesitant to fly as long as it is with Delta. 10/10 recommend, thank you Delta!","{'neg': 0.081, 'neu': 0.809, 'pos': 0.11, 'compound': 0.7156}",0.7156
0.7162,2020-12-01,2020-12-01,40.0,Since Covid.  Safe Clean.  Lacking in Service.,Its different flying with covid.  they do not book the seat next to you.  you must wear a mask the entire time.   the service is VERY limited.  you can smell the recirculated clean air as it filters.  it just different.  Movies are still good.   have fun,"{'neg': 0.055, 'neu': 0.776, 'pos': 0.168, 'compound': 0.7162}",0.7162
0.7165,2022-01-01,2022-01-01,10.0,Rude and impatient customer service reps after American Airline late flight caused a misconnection,American Airlines plane broke down I missed my connection which is fine it happened. But when I went to the customer service desk they talked to me like I was a dog or a three-year-old. It was absolutely no compassion very little information an attitude of impatience and actually at one point nastiness in their tone of voice and like a mother talking to the child will go get something to eat and just calm down. Seriously I'm a 70 year old doctor and I'm trying to solve the problem that was caused by the airline's? And this is how you handle it. And by the way yes they had a small group of people lined up maybe 15 or 20 and at one point about eight of them left because they figured something out themselves. So it wasn't like they were mobbed and about 10 minutes later when I walked by again they were completely quiet and they weren't working they were just hanging out. So I don't see any reason for people who are supposed to be hired to solve problems for the consumer to be acting this way. I have never gone out of my way to write a complaint like this but this deserves attention because they need to train their people. If you're hired for customer service and to solve problems we need the personality to do it as well as the skill set,"{'neg': 0.107, 'neu': 0.764, 'pos': 0.129, 'compound': 0.7165}",0.7165
0.717,2021-01-01,2021-01-01,30.0,It was nice,Enjoyed my flight to New Orleans slept like a baby!! Would recommend to anyone. If you scared of heights don’t sit by the window.,"{'neg': 0.094, 'neu': 0.617, 'pos': 0.289, 'compound': 0.717}",0.717
0.7177,2021-06-01,2021-06-01,50.0,Amazing service,"I flew Delta and Frontier for this vacation and Delta hand down wins! There was no competition. I would be embarrassed if I was a owner or a share holder of Frontier. Delta had free carry on, TV's to watch for free and free snacks. Frontier had horrible front desk service, and charged for everything. No TV's and no snack service and limited bottles of water for a purchase of $2.99.","{'neg': 0.186, 'neu': 0.594, 'pos': 0.22, 'compound': 0.7177}",0.7177
0.7181,2021-05-01,2021-05-01,20.0,Flight attendants were rude and unhelpful.  Plane was dirty.,"Flying with kids is a challenge.  Its even more of a challenge when an airline does not allow you to pick seats to keep your kids with you.  When we were boarding we were attempting to figure out how to be near our children.  Instead of helping, Riki, the flight attendant asked ""what are you doing?"" I explained to her that we didn't want the kids sitting alone so we were trying to figure it out.  She responded ""Well, can you figure it out, we'd like to leave on time.""  It would have been nice to have the flight attendants help with that.    A few things were wrong with this, there were still passengers behind us boarding the plane.  We were clear in the back so we weren't holding up those passengers.  She didn't attempt to help us in any way.  While I was working on that some passengers were struggling to put their luggage into overhead bins, the attendants made no attempt to help them so I helped them which took even longer.There was a dirty band aid on the ground from the previous passengers where one of the children was sitting so it makes me wonder how much cleaning/sanitizing was done between flights.  The snacks were shoved at us in a plastic bag containing a biscotti cookie, water, and hand sanitizing wipe.  We were offered nothing else nor any other options. Another man on the flight was also separated from his family, by 20 rows.  He had worked it out with the passengers near his kids to switch seats but the flight attendants would not allow it even after they had moved their luggage around. I had flown Delta just before and that was a completely different experience.  Flight attendants were accommodating. They handed out sanitizing wipes so you could wipe the area before sitting, and were very helpful to their passengers.  So maybe my expectations were set too high.  I will pay extra not to fly with American Airlines in the future.","{'neg': 0.048, 'neu': 0.89, 'pos': 0.062, 'compound': 0.7181}",0.7181
0.7184,2020-07-01,2020-07-01,50.0,Southwest stepping up,"Southwest, sling with Delta are enforcing the ‘no middle seat’ rule unless you’re traveling together on flights and they do not pack their planes. An unruly couple who were obviously also intoxicated were making fellow passengers uncomfortable as they demanded to sit in the middle seat next to a stranger in the exit aisle or be moved straight to the front. Southwest stepped it up professionally and took care of the situation, to placate the couple and escort them off, while ensuring the remaining passage fees are comfortable. I will always fly southwest.","{'neg': 0.045, 'neu': 0.85, 'pos': 0.105, 'compound': 0.7184}",0.7184
0.7184,2021-07-01,2021-07-01,20.0,Phone service not available,"If you hope to be able to reach a human representative to help with a schedule problem after your initial flight plans were changed by Delta, then you may be disappointed.  Twice I have stayed on hold for well over an hour.  I'll go the local airport and try to get help there.   If phone service is offered (800-221-1212), then wait times should be acceptable.","{'neg': 0.079, 'neu': 0.734, 'pos': 0.188, 'compound': 0.7184}",0.7184
0.7184,2020-08-01,2020-08-01,50.0,Hadn't flown in 20 years,Excellent flight. Took initiative to have wheelchair assistance for me on arrival. Attendants made sure passengers were compliant with masks.,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.7184}",0.7184
