compound,Date,Date.1,Rating,Title,Review,scores,compound
0.7102,2020-01-01,2020-01-01,2.0,"""Barely made our flight""", |  Staff tried very hard to make the best of a bad situation. The security set up was insanely long and the customs machines were glitchy with some reps who couldn't speak english very well - in this industry where dealing with harried customers is the norm I am surprised this was happening. Barely made our flight - others were less fortunate.,"{'neg': 0.108, 'neu': 0.699, 'pos': 0.193, 'compound': 0.7102}",0.7102
0.7103,2019-10-01,2019-10-01,50.0,Great flight crew as usual.,"I fly Southwest exclusively out west, border to border. I wouldn't think of anyone else. Since my first flight in the early 80's we hit it off and it's always very good. No attitude, no frills, just friendly transportation at a very good price.","{'neg': 0.093, 'neu': 0.716, 'pos': 0.191, 'compound': 0.7103}",0.7103
0.7107,2020-02-01,2020-02-01,50.0,First time flying SW. The best airline I've ever flown hands-down and I will never fly another.,"The service was excellent- they were extremely customer service oriented during the flight and made me feel as though they care about me as an individual during the flight. I'm usually a nervous flyer, however, after telling the flight attendant, she located a seat closer to the front for me (she said it was less bumpy). Although I had booked a flight with two stops (DFW and ABQ) the flights were smooth and the takeoff (my least favorite part of a flight, normally) were extremely easy.","{'neg': 0.068, 'neu': 0.822, 'pos': 0.111, 'compound': 0.7107}",0.7107
0.711,2019-04-29,2019-04-29,3.0,"""Disorganised would be the operative word"""," |  What is there not to enjoy about an 80 minute wait to check in? As a frequent traveller, to lots of airports, this one is pretty bad on the face of it. Disorganised would be the operative word - 4 check in staff for about 200 travellers, 3 of whom were looking after 1 set of travellers for some time. Glacial movement on the queue and when you see people being pulled out of that queue because they are about to miss their flight, then you know the check in isn't going well. Also the first airport I have been asked to step out of one queue for security (with 30 or so others) and then walk about 500m to a completely different security spot downstairs as they were unable to cope with the numbers. Considering so much of Hawaii is about tourism, they certainly aren't wasting money on improving the arrival/departure processes.","{'neg': 0.059, 'neu': 0.845, 'pos': 0.096, 'compound': 0.711}",0.711
0.7119,2020-02-01,2020-02-01,50.0,Southwest is our preferred airline! Flight was on time and onboard service was excellent.,"Southwest is our preferred airline! Flight was on time and onboard service was excellent. Albert the wheelchair attendant at PIT was wonderful! The following remarks apply to FLL contractors unless they are Southwest employees.  FLL  curbside check-in and Wheelchair staging need improvement. No help from agent unloading bags from car to scales for tagging to destination. Supposedly agent dispatching wheelchairs did so by boarding time. However she insisted on taking disabled person's boarding pass , but made us wait 25 minutes so aircraft was already boarding and wheelchair attendant responsible for clearing TSA security to gate was unnecessarily burdened by delay. We barely made the flight!. Upon arrival in FLL, wheelchair attendant pushed disabled traveler from the gangway to arrival gate and then abandoned her there without a word. I ended up navigating to baggage claim pushing the wheelchair with both backpacks. There  I hired a porter for help to the waiting car.","{'neg': 0.072, 'neu': 0.815, 'pos': 0.113, 'compound': 0.7119}",0.7119
0.7121,2020-01-01,2020-01-01,40.0,No Charge for Bags,Very Good On Time Flight ... Stop in Dallas Texas to change planes but a very nice flight and it arrived on time!,"{'neg': 0.059, 'neu': 0.7, 'pos': 0.241, 'compound': 0.7121}",0.7121
0.7121,2019-09-06,2019-09-06,9.0,"""a very good to excellent terminal""","  | Leaving - T5 is still one of my favourite terminals. there have been some changes since my last visit in 2017. Self Check in is now the norm. At 05.30 on a Friday morning, it wasn't that busy. Terminal signage indicated that South was less busy than North for getting through security, and indeed it was and it delivers you right outside the Gordon Ramsay restaurant, which is excellent! Flight left from C57, which must be one of the furthest gates from the main terminal. It is also a long walk to the plane from there. Arriving - E-Gates are now the norm for immigration. It was quite busy, and I fear that if there is a Hard Brexit, it will be very chaotic at the UK Border. Bags from my flight started to arrive on the belt as I arrived in the Baggage Hall. Overall still a very good to excellent terminal.","{'neg': 0.052, 'neu': 0.864, 'pos': 0.083, 'compound': 0.7121}",0.7121
0.7123,2020-03-01,2020-03-01,10.0,"Take your money and no service.
They must be government owned.
They run as efficiently as the post office,. No pun inten","We paid for first class and never got first class seats.  You try to talk to someone at the counter and they ""can't help you"".  Ridiculous.  Go Southwest.  Should have flown Southwest Airlines!!!!!Oh, I will be sharing on FB too and any  media I can.  Btw, I don't normally complain.","{'neg': 0.042, 'neu': 0.805, 'pos': 0.153, 'compound': 0.7123}",0.7123
0.7128,2019-10-01,2019-10-01,20.0,"Old plane, it was better next plane","I hadn't flown since 1989, and usually only United, but i had heard horror stories about how small planes were and cramped, this one fit the description, it was old and cramped and chipped, and I wasn't sure what I had gotten into, however the flight itself was smooth and the employees were very nice.  The wheelchair transfer in Phoenix was very nice but it was mentioned that a tip expected.......","{'neg': 0.093, 'neu': 0.741, 'pos': 0.166, 'compound': 0.7128}",0.7128
0.7128,2020-02-01,2020-02-01,50.0,First class that did not feel like it,"Upgraded to First Class so I could sleep on this redeye.  The seat did not recline much.  Worse, the legroom was minimal.  That also meant I had to wake up my neighbor to go to the toilet.  Did not seem to be any improvement (compared to the exit row seat I have previously been on). Most disappointing, especially since for comparable length flights (to Europe) business class  is SO much better.","{'neg': 0.045, 'neu': 0.832, 'pos': 0.123, 'compound': 0.7128}",0.7128
