Date,Rating,Title,Review
20th March 2022,2,"""Airport is filthy""","Not Verified |  I will leave a couple of tips - Saturday night 3-19-2022 - 1) Airport is filthy - Carpet is horrible and not cleaned. 2) Seats are torn and look like they are from the 80's. 3) No Food or coffee available after 9? - you have Spirit Airlines here, you should think about they are never on time or late so maybe something for the disgruntled passengers something. 4) Maybe, just maybe update to the new century we live in - power and USB charging ports would be a fresh idea? Just some helpful tips for you!"
4th March 2022,3,"""As everyone has repeated they are rude""","✅ Trip Verified | As everyone has repeated they are rude, and give unnecessarily contradictory and complicated instructions. For example, at the check in 3/4 at 6.50 am I was told to walk forward and simultaneously push my items through on a backed up overflowing conveyor belt. I asked the female agent to clarify which she wants me to do she tells me to push my items forward. How on an overflowing conveyor belt as you are also yelling at me to go through the metal detector? Her response was a condescending “make it make sense” as if the passengers were too stupid to understand. Atlanta and Miami are always the worse with Atlanta far exceeding Miami. I know it won’t get better because this is how it’s been. I wish TSA would improve its hiring and training."
10th February 2022,2,"""What an embarrassment""","✅ Trip Verified |  What an embarrassment for a supposedly premier international airport. 2 TSA agents essentially unmasked (masks under chin) despite federal mandate, TSA agents extremely rude and aggressive. All food options closed by 8pm. Really - does the person responsible for running this place really not have a clue how poorly run and embarrassing this airport is?"
15th January 2022,3,"""Complete disorganization and mayhem""","✅ Trip Verified |  We arrived as a connection to our international trip around 8 pm, expecting that we’ll be able to eat dinner before boarding our 11 pm flight to Paris. Every single restaurant and food place in the F terminal (where I believe all international flights happen) were closed. Every single one. We were gobsmacked. Upon our return home, we had another connection through ATL. Customs line was horrifically long and the security lines to our connecting flight were awful. Our first flight was delayed, but despite that, we still had two hours to get to our connecting flight, and we still missed it. Complete disorganization and mayhem. Spent the night in Atlanta."
3rd January 2022,1,"""Embarrassing that this is a premier airport""",Not Verified |  Arrived on KLM/Delta from Amsterdam. The transition from the international to domestic terminals is awful and confusing with only rude help available at the scene. What were the designers thinking with whether no or confusing signage and a mostly unmarked maize to get from baggage recheck from Intl to domestic gates. Embarrassing that this is a premier airport. Very sad. Will avoid in the future.
31st December 2021,1,"""Food, and trash on chairs and floor""","Not Verified |  Disgusting. I got stuck over night on 12/26/21. The area for my Delta flight was disgusting. Food, and trash on chairs and floor. It was obvious it was not being cleaned let alone sanitized, four days later and I’m in line for a Covid test. Thanks!"
28th December 2021,3,"""The experience was disgraceful""","✅ Trip Verified | Aggressive, rude TSAs. My sister has sleep apnoea, to breathe at night, she must carry a CPAP machine. She has asthma, she needs a special inhaler. Her bag was pulled aside not once, nor twice, her bag was detained 'three times'. The TSA agents opened her bag, removed the CPAP machine, and failed to recognize the secondary inhaler machine as another appliance that needed to be scanned separately. Unprofessional and a waste of time. My sister was glared at, accused of being difficult, and treated with such distain and rudeness that her anxiety (for which she is on medication) spiked. Badly. It has been several hours since then, and she is still near tears when she describes her experience. An agent held his hand up in her face to cut her off when she tried to speak to him, and was spoken to both sharply and aggressively when she tried to cooperate. On top of all that, when her bags were thrown in bins to be rescanned, her brand-new neck pillow was jostled loose. Additionally, there was a forgotten black-and-red laptop that sat where it was for over 10 minutes. My sister's medical equipment got scanned three times, but nobody noticed an abandoned device for almost a quarter of an hour? Is this negligence or ignorance? The experience was disgraceful. Unprofessional is too kind a description for the treatment my sister endured."
26th December 2021,4,"""airport is genuinely insufferable""","Not Verified | This airport is genuinely insufferable. If you book a flight at 6, you might as well be prepared to leave at 10 and sit in a chair for hours. I am a frequent flyer here and I have never once had a flight that didn't have a major screw-up or set back. One would assume operating an airport would constitute having functional facilities and airplanes but Atlanta Hartsfield does things differently. I almost never write reviews for anything but Hartsfield has burnt me so many times that I felt like warning anyone curious. I'm nauseated with paying hundreds of dollars to leave at a specified time and quite literally never once having my end of the deal held up. If you have options, weigh them well."
8th December 2021,3,"""there were very few people working""","Not Verified |  Arrived from the UK on 2nd December. Despite there only being less than a hundred people or so in the queue it took over an hour to get through passport control as there were very few people working. Only one kiosk was going through passengers with special assistance/in wheelchairs and as such there was a queue of over ten people in wheelchairs waiting, I hope none of them became unwell during this time. On our return we were very surprised that in F/international terminal all food outlets closed at 7pm, considering most flights heading East depart later in the evening and at night time this hardly makes a lot of sense. This information isn't even on the website so we couldn't prepare and eat in advance."
6th December 2021,2,"""I have never had such a poor experience at an airport""","Not Verified |  The airport is very chaotic beginning with my son having to let me out in the middle of the street due to no traffic directing for departure. I have been flying Delta and a skymiles member preferring Delta due to their quality customer service until I had the most rude and disrespectful Delta agent at the luggage check in. She was very impatient barking orders for me to scan my boarding pass and not giving me time to comply before barking another order what's my name she was so impatient. I have severe arthritis and it takes me awhile to use my hands due to stiffness and lost of feeling in my fingers. I handed her my ID as the scanner did not appear to be working. She was sucking her teeth and rolling her eyes it was so uncomfortable dealing with her attitude. I ask could I check my other bag if the flight was full instead of at the gate again due to disability of having to take bags to the gate. She then saw I had my 4 lbs yorkie in her carrier and stated is that an animal. I told her yes she is a dog, I was accused of trying to sneak the dog past her. She would not allow me talk at all. I finally asked for another agent to assist me while she continued to speak to me defensively. Finally another agent come over and took care of me while she continued to fuss in front of him. I asked her please stop speaking to me you are very rude and unprofessional. She threatened to not let me on the flight. I asked why because your being rude I have never had such a poor experience at an airport. I paid the pet fee and thanked the gentleman for helping me. He was very professional. Once I went through security with my pet. The agent that tested my hands was rude and yelled at me because I set my dog down on the counter to prevent from dropping her as he asked for my other hand. Yelled at me to don't put the dog on the counter as if she had rabies. She is a 4lb yorkie. I said sorry please don't yell at me I'm trying not to drop my dog. He was very rough with swabbing my hand and dismissive. I rarely write reviews but I have to let Atlanta know you need to do better. Not coming back through anytime soon. I will also be making complaint to Delta regarding treatment of passengers with disabilities need extra time to preform request. Different airports have different requirements so more signage directions should be visible."
