Date,Rating,Title,Review
Date of travel: March 2022,30,Not the Stanadr they once were,My flight was a 2 hour delay . as the flight coming from MIA to BAQ was delayed for some unknown reason. I had planned a 3 hour lay over in Miami to give me time to get a bite to eat as Breakfast was at 7am and BAQ airport offers nothing to really eat . My second leg home was MIA to Boston I made it to the gate with 10 minutes before they started boarding so no time to grab even some water to drink. Today flying America is a roll of the dice as to what you get... either a great travel or a issues more so if MIA airport is part of the equation. This by far  the worst trip with them ...
Date of travel: January 2022,10,AA seems to enjoy trying to ruin your life,"I HATE flying on AA with a passion unknown to mankind. The ONLY reason I chose to fly from to MIA on AA recently is that it was non-stop-if either the really, really nice folks at SWA or even the marginally nice folks at Delta or UA had a non-stop on this route, I would have flown with them at up to double the fare-seriously-that is now much I hate flying on AA. I have NEVER had even an above average flight with AA & have been flying domestically & internationally since I was 20 & have no idea how many times I have flown with AA during that time but it has been at least a dozen or two times or more. That may seem hard to believe but it is 100% true. In fact, I have never met anyone who has ever in polite conversation who have said they have had an enjoyable flight with AA-it is simply an ordeal to be endured as, on average, the staff from check in counter to on board (including the pilots!) are AT BEST indifferent & IN GENERAL rude, surly, downright angry & hostile. What an impressive business model they have. Is the first question on your interview form for new employees ""Do you prefer to treat customers as ""human scum""? Seriously, I wonder.Mostly recently, an AA counter agent at MIA misinterpreted what I said to another passenger in line. This happened a day after I missed my international flight due to their errors and they would not let me on the flight even though the flight had been delayed but they wouldn't reopen the door. They treated me like a child and made me wait until the end of boarding after another alleged agent manager admonished me for something I didn't have clarity on what I did. Then, after I arrived at my destination, I learned that their staff, based on hearsay, said I made some sort of vague ""threat"" I did not make to anyone (I was talking to someone on my phone so naturally they could not hear the other side of the conversation) and I was detained at immigration at my international arrival location and illegally held beyond 48 hours in a jail cell with no ability to contact the US consulate or attorney before I learned that AA had lied-they stated it was not their decision to then have me deported-but they started the process based on false info. I mean if there was really an issue, why did they allow me to get on the flight to begin with? Naturally, AA tells you nothing-it is like out The Trial by Kafka-a complete kangaroo court.It then took me over a week, a lot of stress, and a lot of money to the right connections to get back into the country of my final destination. I have suffered both mental and physical fallout from this situation-a complete overreaction by the terrible AA staff that had no basis in any reality or danger whatsoever. Of course when one reaches out to ""contact us"" at AA for weeks you get auto-generated e-mails then naturally, nothing-no response at all. This is after AA tried to ruin my life after I had just retired."
Date of travel: March 2022,10,Massive decline in all areas of service,"In short…this was originally a non-stop round trip flight from Dallas to Kona. They changed it on us, no options given. New Airbus A321 was VERY cramped, very little service and the temperature on the plane had us roasting and dripping in sweat. All the members of our party were miserable. Icing on the cake, they lost our luggage and can’t seem to find it. Initial claim was made with a clerk at a desk at baggage claim and she obviously couldn’t have cared less. We’ve spent two hours on the phone with customer service and they can’t even get DFW baggage to answer the phone. Pathetic.In Dallas we are out of luck, DFW is a massive hub and we are beholden to AA. Looking to see if we can wriggle out and switch our reward cards to Southwest and try to use them. If you have a choice, fly with someone else and save yourself the aggravation. They treat you like you’re cargo."
Date of travel: November 2021,10,The absolute worst airline,"I will never travel with this airline, even though they offered me an incentive to do so…we’re not interested!  The captain was over an hour late, we ended up loosing a good few hours from our final arrival Airport & vacation in Peurta Plata, DR. When my husband asked for aster the flight attendant gave him  a 1/4 filled cup. Because he advised of his dissatisfaction with this service he was threatened to be de boarded. The attendants were their mask under their nose but somehow still managed to demand customers to wear their masks even as we are!  On our way back from our vacation that was another drama…ended up paying over $1000 for being refused our flight to Miami because we didn’t have the negative Covid test for Canada. Even though we advised them e were staying in Miami for a couple days & would do our test there. This was a definite airline sent from Hell!"
Date of travel: March 2022,10,Customer service doesn't exist,The flight got changed twice and i was no longer able to do the connexion with my previous leg.I called (from France) to be reimbursed.I faced:Unacceptable delay for answering my email (6 weeks).Unacceptable resolution (i had to call several times multiple numbers to get an answer from somebody else)Unacceptable rejection to be reimbursed for the 1 hour i spend on a toll/premium number with nobody to answer my call ($20 cost)I'll do my best to never fly American again.They deserve to get bankrupted again.
Date of travel: March 2022,10,Terrible customer service after canceled flights and delays,"Canceled flights, rebooked 2 days later because that was the next available time. Missed our rental car. Missed meeting family we flew across the country to see. Nobody’s cares. No recourse."
n/a,10,American Air lines,"This review has nothing to do with this beach don't use American air lines my wife always uses jet blue and has no issues , we bought tickets to go see her farther who is very sick with cancer , they said we had to be there 2 hours early I only have so many days I can be out of work these tickets cost almost 900 bucks total we showed up early liked asked and then our flight was delayed then not available  till tommorrow ...maybe ... so we  had to drive from basicly the nh border merrimac mass  to take the train into Boston bases subway ect all day wasted  our whole day  plus travel expenses we called for a refund and they said there to busy to refund us at the moment due to the high rate of refunds they are currently processing.. they don't hav time for us but they can charge us almost 900 bucks and waste our whole day we should of just rented a car and drove down warning don't fly American air lines ... they said it was maintaince issues I'm so mad planes prob arnt safe to fly or something ... idono I'm just mad  / venting ,how can u ask people to show up 2 hours early then delay them to the next day  (maybe ))"""" the staff at the air port were very nice and helpfull and it was out of there hands but the airline not so helpfull .. then they don't have time for us when it comes to processing our refund .. we could use that money for a car rental  to drive down to c my wifes sick dad but they don't hav time to proccess our refund .. wasted time and wasted money don't spent ur money with them .."
Date of travel: March 2022,10,American Airlines is absolutely horrible!!,"I was supposed to leave El Paso at 6:30 am today, 3/14. My flight was delayed at 12:00 am, 4 hours before my shuttle was supposed to pick me up for my flight. They delayed my flight to 11:55 am and I would have missed my connecting flight in Austin so I had to schedule a new flight for tomorrow 3/15. Well, that flight was just canceled so I just had to schedule a new flight for the THIRD time. My boarding passes are also showing up for my original flight and not my new flight.  My mother also had a horrible experience with AA last Wednesday, 3/9 as well. They canceled her flight at the last minute. She was supposed to land in the afternoon but since she had to get a new ticket, she didn’t arrive until very late at night. Never book with American Airlines. This has been the most infuriating experience ever and now I have to wait 2-3 hours to receive a call back from customer service. I wouldn’t be surprised if my flight gets ruined again. This trip was my first time flying with AA and I will never be flying with them again. I rate them 0/10 they are absolutely horrible!!!! I recommend flying with delta or jet blue if you don’t want to run into any issues."
Date of travel: March 2022,40,True to their word!,"Went from DCA to MCO and flight experience went very well. What was even cooler was one of the pilots took a few moments to say hi to my child who really wanted to say hi and ask a simple question. Pilot did not mind this at all. While getting to our seat was a bit slow, this is to be expected. Attendants were very friendly, restrooms very clean, and seats for us were comfortable. It was my kid's first time being on an airplane and they really enjoyed it.The only unfortunate event was our return flight. It got cancelled. The airline representative tried their best to work with us, but the options available for return flights were not doable for our family. They promised a refund since we got the travel insurance and we are being given one. Great experience overall. It went from ""Excellent"" to ""Very good"" because of the cancellation."
Date of travel: March 2022,50,Your Phoenix team was GREAT!,"I don’t know if we came in a good day or if it’s always like this, but WOW!  The American Airlines team in the Phoenix airport doesn’t play around.  Courteous, helpful, and efficient.  Great job."
