Date,Rating,Title,Review
Date of travel: March 2022,10,Unbelievably bad,"We, the taxpayers, gave the airlines something like $5 billion to help them survive Covid. They treated us like dirt before, now they have plumbed new depths. Our outbound 8:00 AM flight in first class on a 737 was poor. The seats were not padded well, the video screen was tiny with poor clarity and the food, what little there was of it, was terrible.We've been traveling for more than 50 years and know the drill. The day of the return flight we were tracking the incoming plane all morning and there seemed to be a problem but Delta kept saying everything was fine except when it wasn't. At MBJ was had to stand in line for 75 minutes to check in for FIRST CLASS! They lied all day and eventually began saying our departure would be delayed. And they kept saying it until they canceled it. So we had to get our baggage and we were bussed to a very poor Holiday Inn. We were told to leave the hotel at 5:00 AM for a bus back to the airport where we had to wait in line for almost an hour, in an empty airport, to check in. The Delta and security people weren't there yet. No apologies. No food. Nothing. Then we had to wait until the 8:00 AM departure. Making us get there at 5:15 AM was the height of absurdity. Thoughtless.One final note. When you try to call Delta, you'll get a recording that says they'll call you back in TWO HOURS or so. They fired customer service staff and haven't brought them back. Unbelievable."
Date of travel: March 2022,10,Save your money,"I highly recommend you don’t upgrade to First Class on Delta domestic. For $100+ over business you get NO access to the Lounge, NO free Wi-Fi (just messaging and social media), a packet of crisps or a biscuit and a beverage, and a tiny bit more leg room. Very disappointing experience all round."
Date of travel: March 2022,10,Sickened by our experience,"I don't usually make post like this but I am absolutely SICKENED by the service we have received from Delta Airlines today. Leaving our home at 1 am to make it to the airport in st Louis early for the flight, my mom was greeted with a 1.5 hr wait at the bag check and ticket desk. She didn't even make it to security. Once they FINALLY addressed the 50+ people waiting in line, it was to tell them all that after their hour and a half wait the plane(s) had left without them. They stranded 50+ people at the airport. And when they told my mom the lady at the counter scoffed at her as if it had been her fault!I spent 7 hrs on the road this morning having to go back to pick her up after their failure. After contacting the chat online I was transfered to two different agents who told me three different stories. ( Yes you read that right ) Ultimately I was told I have to call in not use chat ( after 2 hrs of chatting ) and call in to receive a 4 hr wait time on hold! Stillllllll on hold. So here's one for you Delta Air Lines Today because of your horrific customer service:My mother was disrespected in public by your rude employee. I lost $75 worth of gasI lost $625 of potential income for the time I spent having to travel to and from unnecessarily due to your failureI put just short of 500 miles on my carMy mother will not get to go see her first grandchild until we receive your ""possible"" refund in at the earliest 7 business days.....too bad this week was the only time available in our family's schedule. So here's to you Delta. We will never fly with you again and will be sharing our story far and wide. You can bet on it!UPDATE: 4 hrs on hold and they closed for the night without answering my call.UPDATE: after holding a other hour and a half this morning to delta. We found out the lady at the airport didn't refund the ticket ! Also they will not make this right and said compensation or a new ticket voucher is not due to us."
Date of travel: March 2022,10,Worst Customer Service,"Deborah, the manager for delta in anchorage, is SUPER rude! After giving away my first class seat I specifically got because I’m traveling with a baby, Deborah threatened me because I raised my voice. She lied to me and kept referring to china! I’m not even Chinese and not traveling to china! She is prejudice and needs to be fired! I’m so hurt by this experience and can’t believe I fave such blatant prejudice from a delta airline manager! I’m so sick from it."
Date of travel: March 2022,10,Horrible everything.,"The airplane I rode in had rows of 3 seats in the middle and two seats on edges.  Each seat had a tv that you could watch stuff on.  The only problem is that mine was entirely broken and no one could fix it.  So I was forced to wait for an hour until the wi-fi was on, but even then the wi-fi didn’t even work.  I payed 30$ for the wi-fi and I could only use google.  I couldn’t watch anything on hulu, netflix and I could not use any social media at all.  I basically got scammed for 30$. 0/10 ride anything else besides delta."
Date of travel: May 2021,10,Sky Miles BEWARE!!,"I have been building sky miles for a long time, but was unable to use so I wanted to transfer 30,000 miles to my daughter for a summer trip home.  First I tried contacting to make sure it  could be done, unfortunately an hour on hold and still no one.  Then I tried online help, 55 minutes later, never talked to anyone. So I searched the web site to see if it was possible to transfer sky miles, I did see that it’s possible, I filled out the wanted information, it said there would be a 30.00 fee and that’s understandable, but what wasn’t clear is that there would be the .01 per mile fee, because why in the world would anyone pay to give miles earned to someone?  I feel like it was totally meant to deceive a person. My daughter went online to help rectify the situation it and has been holding in one department or another for the last six hours!!!  this is not acceptable you got me this time, but I swear to you it’s the last!! That’s just not good business.  Try being up front about the penny per mile where it says payment!! That 30.00 dollar fee is meant to look as though that’s the cost to transfer."
Date of travel: March 2022,10,Their Staff is Terribly Unfriendly,"The staff are not friendly at all. The flight attendants all seem to be on a power trip regarding the mask situation. They will hover over you as you drink/eat to make sure you put your mask up as soon as the food or liquid hits your lips. If they have to tell you more than once, say goodbye. I saw them take a man off the plane although he had his mask on and was non-confrontational. Luckily, I did not have anything to eat or drink with me when I got on or I could have been with him. I understand that there are some unruly passengers, but Delta must understand that their staff is becoming unruly as well. I will never be using them again. Disgusting behavior by their staff. My colleagues and I travel often, and none of us will be using them ever again."
Date of travel: March 2022,20,Terrible customer service and help,"No refund even with travel insurance after a missed connection because of a delay and no flight for 11 hours later which was also delayed. I understand that things can go wrong like weather out of delta's control, however how they treat their customers during the struggles of travel nightmares was awful!! I wanted to document it because of how mind blowing rude and inappropriate they were!"
Date of travel: March 2022,10,Me,"Customer Service is worse than any cable company I've had to deal with!!! Wait time for customer service is nearly 5 hours!! They keep changing my flight with no regards to my connecting flight, which is also on Delta. I'm over it!!! Alaskan Airlines here we come....."
Date of travel: March 2022,40,Never had a bad experience,"I will always pay a bit extra if necessary to fly Delta. Their Comfort + class is very reasonably priced and provides the extra space I need with my bad knees. The few times a flight was delayed due to weather or mechanical problems they were very good about updating the passengers or getting us rebooked on other flights.I had to cancel several international flights over the past few years due to Covid, and customer service was great - refunded my money on one flight and let me move another with no penalties.Compared to most other US-based airlines, Delta is a real class act. There are a couple of international airlines -Qantas and British Airlines both come to mind - that I would tend to rate better, which is why only 4 stars. (If they can do it why can’t the US airlines). But delta really is head and shoulders above the others for domestic flights."
