Date,Rating,Title,Review
Date of travel: March 2022,10,No way these 5* reviews are frequent fliers,"I’ve flown a minimum of once a month with Southwest for the last year. At this point the savings are not worth the absolute madness the yo-yo delays and last minute cancellations cause. This airline has far  too much uncertainty for anyone looking for reliability. Unless you are super flexible with departure and arrival time (by hours or days) , don’t waste your time and sanity on Southwest."
Date of travel: March 2022,10,Too many cancelled flights. Southwest is developing a reputation of cancelling flights. 20%. Costly and Ruins a day.,Too many cancelled flights. Southwest is developing a reputation of cancelling flights. 20%. Costly and Ruins a day. Dont book with Southwest thinking its going to go as expected. They have more cancelled flights than any other airline.I purposely booked non stop from Chicago to San Jose. Renting a car to drive to Chicago from Milwaukee only for the flight to be cancelled. Many other people around with cancelled Southwest flights. The weather wasnt bad. Other airlines were not having problems. It backed up at every Southwest terminal. They tried to get me on another non stop but they had so many other cancelled flights that the one they tried to get me on was completely full. I was 10 hours late arriving.Not Cool!!!
Date of travel: March 2022,50,Awesome Airline- we fly with a friend or family member for free through 2023,Almost too good to be true- We love Southwest! We have been flying with a friend or family member for free for years with their Southwest Companion Pass. They have lots of destinations with direct flights. Staff is always friendly.
Date of travel: March 2022,30,Very confused staff,One of our party required assistance to board. We set everything up when we purchased the tickets and were told to check in at the service desk for a pre-boarding pass. When we got to the service desk the person said we were already set up and didn't need a pre-boarding pass it was on our phone. When we began boarding we were told by the person checking tickets that we could not pre-board because we didn't have a paper ticket.
Date of travel: January 2022,50,"I always pick Southwest even if there are cheaper options available, they are AWESOME.","I never thought I would be the type of person to pick a flight based on the carrier, but after so many bad experiences with other airlines I finally discovered Southwest and now I don't even consider other options if there is a Southwest flight available!Southwest has by FAR the best customer service and they seem to actually care about the customer and experience. They don't nickel and dime you like other airlines, they do what they can to make the flight affordable but still retain excellent service. No idea how they pull this off, but they are an airline I can trust. Thank you!"
Date of travel: March 2022,10,Really disappointed,Southwest it’s pretty ridiculous that we go on a 2 hr layover in Denver when the weather was 100% clear skies. Then when we do leave it’s 30 minutes after the time we were supposed to leave for the delay. The thing that’s really upsetting me is that I was A1 for the first time in two years I have flown over 750k miles since COVID with your company through my work. Yet the 1st time I get A1 you make me miss my board group and I did not get the preferred seat I was hoping for but it’s ok I’m glad you did not make me miss another flight for the 10th time in 2 1-2 weeks. You get a great big f on this one South West at least be better about telling people the truth instead of saying we will make up time in the sky when we lost another 20 minutes in the sky.
Date of travel: March 2022,10,Where are our bags Southwest Airlines? One hour wait?,Have been waiting almost an hour since we landed for our baggage. Everyone is tired but this is ridiculous and no body is here to help inform us. Another flight has landed after us from Seattle and those passengers are already gone with their bags. This is ridiculous and seems to reflect you get what you pay for. 2 Free Bags but your vacation with start off with a huge disappointment.
Date of travel: March 2022,10,The worst experience I have ever had,"I had a flight to Philadelphia on Saturday, March 12th, and my final destination was State College, my friend and I were going to drive there on Sunday. My flight was overweight and since I was one of the last people to check-in they simply just removed me from the flight without asking, which they did compensate me for. It wouldn't have been a problem if I didn't have a checked bag. I asked if I could get my back and the lady at the Southwest terminal desk was extremely rude. She was short with her answers and didn't give me much information at all, just said that they would call me once my bag got into Philadelphia and they would ship it to me. Two days go by and nobody calls so I decided to take matters into my own hands. I called from 8AM to 11AM and nobody was able to assist me. Two people told me my bag was in Philadelphia and two people told me it was in Fort Lauderdale. I went to the FLL Airport and they said it was not there and that it was in Philadelphia. I called the Baggage Claim Customer Service number for the millionth time and they just keep leaving messages to the Philadelphia Baggage Claim office but nobody is reaching back to me. I got to my destination on Tuesday, it's been four days by the way, and called again. Now the lady is telling me that my bag can't be located. It wasn't scanned into Philadelphia and obviously, it's not in Fort Lauderdale since I went to check. I have never ever ever had such a horrible experience with any other airline. I have probably over $5000 worth of stuff in that bag and nobody is being helpful. The Philadelphia Baggage Claim office will not answer the phone, won't respond to my messages or anybody elses. This is the most stressful flight situation I have ever been in and you know I will NEVER be flying Southwest again. Worst airline of all time."
Date of travel: March 2022,10,What is going on?,Three canceled flights in three days. I need to know how you cancel a flight and the luggage still arrived on time? 198 people behind my wife that are just as irate and unlike us it wasn't there second or third day. I fly Southwest often because they were the most on time airline.  Apparently things have changed and they don't care about customer service any longer!!!
Date of travel: March 2022,20,SWA ain't what it used to be!  ugh,"My original flight was delayed 5x which of course impacted making connection.  Rescheduled in the airport - two options provided next night leaving late make a connection get into SD in the wee hours or two days later direct flt at 6:20 AM.  to reduce risk took the direct but went to check in & they forgot to provide a new confirmation #, called & the call wait time to get a new conf # was 55 mins! Then another 30 mins to get the new #.  needless to say C class.  The stress & anxiety SWA has caused me last several flights SUCKS.  I remember when I was their biggest champion.  They are falling fast"
